Mileage_km,Price_$,Bike,Type_of_Bike,Used_Time
805," 19,994 ",R 18 TRANSCONTINENTAL,BMW Cruiser,2022
26520," 20,995 ",K 1600 B GRAND AMERICA 1600 GRAND AMERICA,BMW Touring,2019
198683," 21,000 ",R 60 /2,BMW Cruiser/Vintage,1966
12406," 20,000 ",K 1600 GRAND AMERICA,BMW Cruiser,2019
32687," 19,595 ",K 1600 B GRAND AMERICA 1600 GRAND AMERICA,BMW Touring,2018
15054," 19,500 ",R 1250 GS,Dual Sport,2020
21565," 25,000 ",K 1600 GTL,Sport Touring,2019
21406," 12,499 ",R 1200 GS ADVENTURE,BMW Standard,2012
12952," 23,995 ",R 1250 RT,BMW Touring,2021
4667," 21,900 ",R 1250 GS,Dual Sport,2022
14806," 19,999 ",S 1000 XR,Sport Touring,2021
8723," 15,999 ",R 18 B FIRST EDITION,BMW Touring,2022
2956," 15,595 ",R 18 CLASSIC,BMW Standard,2021
11008," 19,995 ",K 1600 B,BMW Touring,2019
39920," 18,995 ",K 1600 GTL,BMW Touring,2018
22117," 16,500 ",K 1600 GT,Sport Touring,2016
31382," 29,995 ",R 18 CLASSIC FIRST EDITION,BMW Cruiser/Vintage,2021
5," 30,978 ",S 1000 RR,BMW Sportbike,2023
483," 19,999 ",K 75 S,BMW Custom,1990
131115," 12,995 ",R 1200 GS ADVENTURE,Dual Sport,2016
21586," 13,995 ",S 1000 RR,BMW Sportbike,2014
72652," 7,995 ",R 1200 RT,Sport Touring,2011
11811," 13,500 ",R 1100 S BOXER CUP,Sport Touring,2004
7355," 17,995 ",K 1600 B,BMW Touring,2018
21465," 8,999 ",R NINET,BMW Standard,2015
34646," 5,595 ",G 650 GS,Dual Sport,2009
22045," 4,999 ",F 650,Sport Touring,1997
882," 14,995 ",R 18 CLASSIC,BMW Standard,2021
16937," 19,995 ",R 1250 RS,Sport Touring,2020
39265," 15,900 ",R 1200 GS ADVENTURE,Dual Sport,2015
3," 22,860 ",R 1250 GS TRIPLE BLACK,BMW Dual Sport,2023
7171," 22,900 ",R 18 TRANSCONTINENTAL,BMW Cruiser,2022
1337," 14,995 ",R 18 CLASSIC,BMW Standard,2021
6684," 18,995 ",R 1250,Sport Touring,2019
4957," 14,995 ",R 1250 RS,Sport Touring,2020
6862," 10,295 ",F 900 XR,Dual Sport,2020
11920," 14,695 ",S 1000 XR,Dual Sport,2018
17508," 13,500 ",R NINET,BMW Standard,2018
5966," 6,700 ",G 310,Dual Sport,2022
689," 4,999 ",G 310 R,BMW Standard,2020
2375," 5,500 ",G 310 GS,BMW Standard,2019
5955," 13,494 ",S 1000 XR,Sport Touring,2016
760," 12,999 ",RNINE T PURE,BMW Cruiser,2021
7189," 4,900 ",G 310 GS,Dual Sport,2019
1379," 18,999 ",R 1200 GS RALLYE,Dual Sport,2017
48113," 14,900 ",K 1600 GTL EXCLUSIVE,BMW Touring,2014
11319," 23,495 ",R 1250 GS ADVENTURE,Sport Touring,2021
42326," 16,495 ",R 1200 GS ADVENTURE,BMW Touring,2017
17864," 12,900 ",K 1300 S,Sport Touring,2015
81410," 10,495 ",R 1200 GS,Dual Sport,2014
4506," 7,300 ",F 700 GS,Dual Sport,2013
26273," 26,500 ",R 100 GS,Dual Sport,1992
10," 30,950 ",K 1600 GRAND AMERICA OPTION 719 MIDNIGHT,BMW Touring,2023
29586," 10,296 ",R 1200 R,Sport Touring,2016
83615," 10,500 ",R 1200 GS,Dual Sport,2014
95989," 4,900 ",R 1100 RT ABS,BMW Touring,2000
16," 27,465 ",R 1250 RT ALPINE WHITE,BMW Touring,2023
5150," 9,900 ",R NINET SCRAMBLER,BMW Custom,2015
9556," 10,500 ",R 1200 GS,BMW Touring,2010
2684," 8,450 ",R 80 /7,BMW Cruiser/Vintage,1977
3," 20,225 ",R 18,BMW Cruiser,2023
3," 27,460 ",R 18 TRANSCONTINENTAL,BMW Cruiser,2023
10," 25,145 ",R 1250 GS ADVENTURE,BMW Dual Sport,2023
3," 23,995 ",R 18 B,BMW Cruiser,2023
10," 24,490 ",R 1250 GS,BMW Dual Sport,2023
3," 23,500 ",R 18 B,BMW Cruiser,2023
3," 27,985 ",R 18 TRANSCONTINENTAL,BMW Cruiser,2023
3," 23,305 ",R 18 CLASSIC,BMW Cruiser,2023
323," 22,495 ",2023 BMW R18 B GRAVITY BLUE METALLIC,BMW Cruiser,2023
16," 25,295 ",R 1250 GS ADVENTURE GS TROPHY,BMW Dual Sport,2023
241," 17,995 ",R 18 B,BMW Cruiser,2022
174," 16,464 ",F 850 GS 850 GS ADVENTURE,BMW Dual Sport,2022
6," 15,340 ",R NINET URBAN G/S,BMW Standard,2022
6," 29,540 ",K 1600 GT,BMW Sport Touring,2022
8446," 13,990 ",F 850 GS 850 GS ADVENTURE,Dual Sport,2021
4324," 12,465 ",F,Dual Sport,2021
1688," 12,750 ",R 18,BMW Cruiser,2021
29803," 14,299 ",S 1000 XR RACING RED WITH WHITE ALUMINUM METALLIC MATTE,Dual Sport,2020
23868," 12,895 ",F850GS 850 GS ADVENTURE,Dual Sport,2019
661," 13,790 ",R NINET,BMW Standard,2019
6381," 10,500 ",R NINET URBAN G/S,BMW Standard,2018
35212," 18,299 ",R 1200 GS ADVENTURE,Dual Sport,2018
53141," 12,000 ",R 1200 RT,Sport Touring,2018
13036," 18,499 ",K 1600 GTL K1600GTL,Sport Touring,2018
13292," 16,390 ",S 1000 RR,BMW Sportbike,2017
17582," 11,290 ",S 1000 XR,Dual Sport,2016
27188," 17,390 ",R 1200 GS ADVENTURE,Dual Sport,2015
1738," 16,995 ",R 18 B,BMW Touring,2022
19311," 19,600 ",S 1000 XR,Sport Touring,2021
10139," 18,000 ",S 1000 XR M SPORT,Sport Touring,2021
10944," 29,995 ",R 1250 GS ADVENTURE,Dual Sport,2021
41904," 18,290 ",R 1250 GS ADVENTURE,Dual Sport,2020
25307," 20,000 ",R 1200 GS ADVENTURE,Sport Touring,2018
94372," 16,297 ",R 1200 GS ADVENTURE,Dual Sport,2017
669," 13,995 ",F 900 XR,Sport Touring,2023
200," 26,990 ",K 1600 GTL BLACK STORM METALLIC,BMW Sportbike,2022
16052," 9,990 ",F 750 GS,Sport Touring,2019
60672," 14,495 ",K 1600 B,Sport Touring,2018
31345," 17,899 ",K 1600 GRAND AMERICA,BMW Touring,2018
53108," 8,900 ",F 800 GS,BMW Touring,2010
5," 25,145 ",R 1250 GS ADVENTURE,BMW Standard,2023
16," 12,535 ",R NINET PURE 719 POLLUX METALLIC/LIGHT WHITE,BMW Touring,2023
13," 28,490 ",K 1600 GTL BLACK STORM METALLIC,BMW Touring,2023
335," 18,995 ",S 1000 XR TRIPLE BLACK,BMW Dual Sport,2023
13," 22,505 ",S 1000 XR LIGHT WHITE/M MOTORSPORT 1000 R,BMW Dual Sport,2023
774," 20,495 ",R 18 TRANSCONTINENTAL FIRST EDITION,BMW Touring,2022
4295," 4,795 ",G 310 R,BMW Standard,2021
55," 16,950 ",R 18 FIRST EDITION,BMW Cruiser,2021
14750," 16,995 ",S 1000 XR ICE GREY LOW SUSP.,Dual Sport,2021
12875," 10,999 ",S 1000 R,BMW Sportbike,2018
11426," 15,200 ",R 1200 GS,Dual Sport,2018
12231," 12,995 ",S 1000 R,BMW Sportbike,2018
37095," 15,500 ",R 1200 GS ADVENTURE,BMW Touring,2017
30719," 5,499 ",F 800 R,BMW Sportbike,2015
8856," 14,500 ",R 1200 GS,Dual Sport,2015
36587," 11,500 ",K 1600 GTL,BMW Touring,2012
34440," 10,500 ",S 1000 RR,BMW Sportbike,2010
147081," 4,500 ",K 1200 S,BMW Custom,2007
146450," 5,000 ",K 1200 LT,BMW Touring,2006
10," 20,020 ",R 18 CLASSIC,BMW Cruiser,2023
11," 24,005 ",R 1250 GS,BMW Standard,2023
335," 18,465 ",R 1250 RS TRIPLE BLACK,BMW Sportbike,2023
251," 18,995 ",R 18 TRANSCONTINENTAL MANHATTAN METALLIC MATT,BMW Cruiser,2022
2586," 25,990 ",K 1600 GRAND AMERICA 719 MIDNIGHT,BMW Sportbike,2022
327," 14,999 ",RNINET SCRAMBLER,BMW Sportbike,2022
166," 13,295 ",R NINET SCRAMBLER 719 BLACK STORM METALLIC / RACING RED,BMW Cruiser,2022
164," 13,495 ",R 18 MARS RED METALLIC,BMW Cruiser,2022
13868," 8,499 ",F 900 XR LIGHT WHITE,Sport Touring,2020
306," 14,250 ",R 1250,Sport Touring,2019
34834," 15,499 ",K 1600 B BLACK STORM METALLIC PREMIUM,BMW Touring,2018
51095," 12,899 ",R 1200 RT MARS RED METALLIC / DARK SLATE METALLIC,Sport Touring,2018
9897," 10,400 ",S 1000 R,BMW Sportbike,2014
22703," 9,000 ",R 1200 GS ADVENTURE,Dual Sport,2013
13," 13,955 ",CE 04 AVANTGARDE,BMW Scooter,2023
16," 13,605 ",R NINET PURE 719 UNDERGROUND/LIGHT WHITE,BMW Touring,2023
13," 17,790 ",R 1250 R SPORT,BMW Standard,2023
644," 19,900 ",S 1000 R,BMW Sportbike,2023
1522," 70,000 ",M1000RR,BMW Sportbike,2022
7984," 20,995 ",R 1250 GS,BMW Touring,2021
1996," 39,900 ",M 1000 RR,BMW Sportbike,2021
3867," 10,495 ",F 900 XR,Sport Touring,2020
6700," 9,749 ",F 750 GS,BMW Standard,2019
40311," 10,710 ",F 850 GS ADVENTURE,BMW Standard,2019
44683," 12,350 ",R 1200 RT,Sport Touring,2018
