Mileage_km,Price_$,Bike,Type_of_Bike,Used_Time
16634,"14,994",1290 SUPER DUKE GT,Sport Touring,2019
9328,"10,999",SMC 690 R,Super Moto,2019
781,"9,500",350 EXC-F,Dual Sport,2018
92,"7,995",350 XC-F,Dual Sport,2020
3573,"8,000",620,Dual Sport,1995
56,"9,586",790 DUKE,KTM Standard,2019
23871,"13,500",SUPER DUKE 1290 R,Super Moto,2015
5472,"5,694",390 DUKE,KTM Standard,2018
8948,"5,299",DUKE 390 ABS,KTM Sportbike,2018
2702,"5,499",RC 390,KTM Sportbike,2022
7857,"13,950",1090 ADVENTURE R,Dual Sport,2018
11748,"11,500",1290 SUPER ADVENTURE R,Dual Sport,2019
5633,"9,975",ADVENTURE 1190,Dual Sport,2014
14067,"14,600",1290 SUPER ADVENTURE R,Dual Sport,2017
5240,"3,999",200 DUKE,KTM Sportbike,2021
5,"16,994",ADVENTURE 890 R,Dual Sport,2022
3745,"11,000",SMC 690 R,Super Moto,2021
3219,"16,500",1290 SUPER ADVENTURE S,KTM Touring,2020
23561,"13,500",1090 ADVENTURE R,Dual Sport,2018
22611,"11,896",1290 SUPER DUKE GT,Sport Touring,2017
19,"10,700",350 XC-F,Dirt Bike,2022
135,"7,995",350 XC-F ENDURO,Dirt Bike,2022
5454,"16,500",SUPER ADVENTURE 1290 R,Dual Sport,2020
10017,"13,500",1090,Dual Sport,2017
6402,"16,550",890 ADVENTURE R,Dual Sport,2021
4815,"8,199",790 DUKE,KTM Sportbike,2020
3051,"8,999",790 DUKE,KTM Sportbike,2020
23102,"6,900",690 ENDURO R,Dual Sport,2014
4880,"17,990",1290 SUPER DUKE R,KTM Sportbike,2020
7886,"11,000",790 ADVENTURE R,Dual Sport,2020
36284,"11,799",1290 SUPER ADVENTURE R,Dual Sport,2019
7178,"9,995",1290 SUPER DUKE R,Super Moto,2014
37005,"9,000",1190 ADVENTURE,Dual Sport,2014
31447,"12,000",1190 ADVENTURE R,Dual Sport,2014
2,"5,799",390 ADVENTURE,KTM Sportbike,2022
8,"4,588",RC 390,KTM Sportbike,2022
8,"12,999",690 ENDURO R,Dirt Bike,2023
1382,"18,495",1290 SUPER DUKE R EVO,KTM Sportbike,2022
2,"4,999",RC 390,KTM Sportbike,2022
22483,"10,999",790 ADVENTURE R,Sport Touring,2020
89,"6,795",450 SX-F,Dirt Bike,2020
2897,"4,990",390 DUKE,KTM Standard,2019
14173,"15,899",1290 SUPER DUKE GT,Sport Touring,2019
8517,"15,200",1290 SUPER DUKE GT,Sport Touring,2019
29462,"9,699",1190 ADVENTURE R,Dual Sport,2016
9751,"8,500",690 ENDURO R,Dual Sport,2014
5855,"9,499",890 DUKE R,KTM Sportbike,2021
42350,"13,278",1290 SUPER DUKE R,KTM Sportbike,2019
24676,"9,000",690 ENDURO R,Dual Sport,2015
169,"11,000",790 DUKE,KTM Sportbike,2020
24800,"9,899",790 ADVENTURE R,Dual Sport,2019
15548,"9,999",690 DUKE,KTM Standard,2018
9397,"13,999",1290 SUPER DUKE GT,Sport Touring,2017
24654,"7,990",690 DUKE,KTM Sportbike,2014
8349,"15,795",890 ADVENTURE R UNLOCKED,Sport Touring,2021
4059,"7,999",790 DUKE,KTM Sportbike,2019
357,"9,250",350 EXC-F,Dual Sport,2018
