Mileage_km,Price_$,Bike,Type_of_Bike,Used_Time
2,"5,299",HIMALAYAN ROCK RED,Royal Enfield Standard,2022
2021,"4,500",BULLET 500 B5,Royal Enfield Classic / Vintage,2009
8,"6,349",CONTINENTAL GT 650,Royal Enfield Cruiser,2023
5,"6,349",CONTINENTAL GT 650,Royal Enfield Cruiser,2023
2,"4,499",CLASSIC 350 HALCYON BLACK,Royal Enfield Standard,2022
2720,"6,995",HIMALAYAN 411 EFI ABS,Royal Enfield Standard,2021
925,"4,995",SCRAM 411,Royal Enfield Standard,2023
8,"4,204",CLASSIC 350,Royal Enfield Cruiser,2022
4105,"4,995",HIMALAYAN,Royal Enfield Standard,2022
6,"5,995",CONTINENTAL GT DUX DELUXE,Royal Enfield Standard,2022
3,"3,995",CLASSIC 350 HALCYON BLACK,Royal Enfield Standard,2022
5,"4,699",CLASSIC 350 BASE,Royal Enfield Cruiser,2023
5,"4,530",HIMALAYAN BASE,Royal Enfield Dual Sport,2022
16,"3,999",HIMALAYAN PINE GREEN,Royal Enfield Standard,2022
5,"5,449",HIMALAYAN BASE,Royal Enfield Dual Sport,2023
3,"5,549",SCRAM 411,Royal Enfield Dual Sport,2023
6,"4,995",INT650 DOWNTOWN DRAG,Royal Enfield Standard,2022
5,"3,876",CLASSIC 350 BASE,Royal Enfield Cruiser,2022
2,"5,099",SCRAM 411 WHITE FLAME,Royal Enfield Standard,2023
5,"4,068",CLASSIC 350 BASE,Royal Enfield Cruiser,2022
5,"5,099",SCRAM 411,Royal Enfield Standard,2023
140,"6,000",CONTINENTAL GT 650,Royal Enfield Classic / Vintage,2022
5,"3,876",CLASSIC 350 BASE,Royal Enfield Cruiser,2022
5,"4,068",CLASSIC 350 BASE,Royal Enfield Cruiser,2022
3,"3,995",CLASSIC 350 CHROME BRONZE,Royal Enfield Standard,2022
2,"4,199",HUNTER 350 REBEL RED,Royal Enfield Standard,2023
5,"4,799",CLASSIC 350 CHROME RED,Royal Enfield Standard,2023
6503,"3,650",HIMALAYAN BASE,Royal Enfield Dual Sport,2021
11372,"4,600",METEOR 350,Royal Enfield Classic / Vintage,2022
5,"6,149",INTERCEPTOR 650,Royal Enfield Classic / Vintage,2023
10,"4,699",CLASSIC 350,Royal Enfield Cruiser,2023
10,"4,799",CLASSIC 350,Royal Enfield Cruiser,2023
10,"4,599",CLASSIC 350,Royal Enfield Cruiser,2023
1287,"3,999",CLASSIC 350,Royal Enfield Cruiser,2022
2,"3,999",SCRAM 411,Royal Enfield Standard,2023
1230,"5,498",INTERCEPTOR 650,Royal Enfield Standard,2022
2054,"3,980",HIMALAYAN 411 EFI ABS,Royal Enfield Standard,2020
8,"4,499",CLASSIC 350 HALCYON BLACK,Royal Enfield Standard,2022
8,"4,999",CLASSIC 350 HALCYON GREY,Royal Enfield Standard,2022
16,"5,099",SCRAM 411,Royal Enfield Standard,2023
8,"3,999",HUNTER 350 DAPPER GREY,Royal Enfield Standard,2023
8,"5,099",SCRAM 411,Royal Enfield Dual Sport,2023
8,"5,099",SCRAM 411 WHITE FLAME,Royal Enfield Standard,2023
8,"5,099",SCRAM 411 WHITE FLAME,Royal Enfield Standard,2023
8,"5,099",SCRAM 411 SKYLINE BLUE,Royal Enfield Standard,2023
8,"5,099",SCRAM 411 BLAZING BLACK,Royal Enfield Standard,2023
5,"4,799",CLASSIC 350 DARK GUNMETAL GREY,Royal Enfield Standard,2023
8,"5,099",SCRAM 411 GRAPHITE BLUE,Royal Enfield Standard,2023
8,"4,699",METEOR 350 FIREBALL RED,Royal Enfield Standard,2023
8,"4,899",METEOR 350 SUPERNOVA BLUE,Royal Enfield Standard,2023
8,"4,699",CLASSIC 350 DARK GUNMETAL GREY,Royal Enfield Standard,2023
5,"4,599",CLASSIC 350 HALCYON BLACK,Royal Enfield Standard,2023
8,"4,599",CLASSIC 350 DARK STEALTH BLACK,Royal Enfield Standard,2022
5086,"3,991",CLASSIC 350 HALCYON GREY,Royal Enfield Standard,2022
8,"6,349",INT650,Royal Enfield Cruiser,2023
8,"6,149",INT650,Royal Enfield Cruiser,2023
8,"5,999",CONTINENTAL GT 650,Royal Enfield Cruiser,2022
8,"5,998",CONTINENTAL GT 650,Royal Enfield Cruiser,2022
8,"6,499",CONTINENTAL GT 650,Royal Enfield Cruiser,2022
2,"5,746",CONTINENTAL GT 650,Royal Enfield Cruiser,2022
343,"8,500",PEGASUS 500 BATTLE GREEN,Royal Enfield Standard,2018
2,"5,908",INT650,Royal Enfield Cruiser,2022
5,"6,349",INT650,Royal Enfield Cruiser,2023
2,"5,679",CONTINENTAL GT 650,Royal Enfield Cruiser,2022
5,"6,149",INT650,Royal Enfield Cruiser,2023
