Mileage_km,Price_$,Bike,Type_of_Bike,Used_Time
12936,"14,995",GSX-R1000,Suzuki Sportbike,2020
16443,"10,498",BOULEVARD M109R B.O.S.S.,Suzuki Cruiser,2019
29,"18,500",HAYABUSA GSX 1300,Suzuki Sportbike,2022
17059,"6,450",V-STROM 650 ABS ADVENTURE,Suzuki Dual Sport,2013
8916,"6,999",DR-Z400SM,Suzuki Competition,2021
8613,"15,000",GSX-R 1300,Suzuki Sportbike,2008
57936,"7,799",V-STROM 1000 ABS ADVENTURE,Suzuki Dual Sport,2014
4184,"8,499",V STROM 650XT ADVENTURE,Suzuki Sport Touring,2020
12669,"9,500",BOULEVARD M109R LIMITED EDITION,Suzuki Touring,2011
18129,"5,185",DR 650SE,Suzuki Dual Sport,2008
5769,"8,000",DR Z 400S BASE,Suzuki Dual Sport,2020
27438,"9,999",GSX-R750™,Suzuki Sportbike,2013
28968,"12,950",HAYABUSA 1300R,Suzuki Sportbike,2009
29873,"3,500",BOULEVARD C50,Suzuki Cruiser,2007
3740,"12,000",BOULEVARD C90T B.O.S.S.,Suzuki Cruiser,2019
9442,"12,499",HAYABUSA,Suzuki Sportbike,2015
4157,"6,498",DR-Z400SM,Suzuki Dual Sport,2021
6679,"8,250",GSX-R 1000R,Suzuki Sportbike,2007
3523,"7,983",V-STROM 650XT,Suzuki Dual Sport,2022
2,"9,283",V-STROM 650XT ADVENTURE, Suzuki Dual Sport,2022
2,"6,983",DR-Z400SM, Suzuki Dual Sport,2023
2,"11,483",GSX-R750, Suzuki Sportbike,2023
11,"6,299",RMX450 Z,Suzuki Sportbike,2019
8055,"10,999",GSX-R750,Suzuki Sportbike,2017
14001,"11,999",GSX R 1000,Suzuki Sportbike,2014
73805,"3,000",INTRUDER 1400,Suzuki Cruiser,2003
13023,"6,199",GSX-S750,Suzuki Sportbike,2015
2092,"12,900",BOULEVARD,Suzuki Touring,2020
20841,"13,500",HAYABUSA 1340 LIMITED,Suzuki Custom,2008
2,"18,199",GSX-R1000R, Suzuki Standard,2023
2028,"10,995",GSX-S1000,Suzuki Sportbike,2023
2,"7,099",DR-Z400S, Suzuki Standard,2023
2,"4,999",BURGMAN 200, Suzuki Scooter,2022
2673,"11,999",BOULEVARD,Suzuki Cruiser,2020
2673,"12,995",BOULEVARD M109R B.O.S.S.,Suzuki Cruiser,2020
8766,"9,990",BOULEVARD M109R B.O.S.S.,Suzuki Cruiser,2017
2543,"9,999",C50 BOULEVARD TRIKE,Suzuki Trike,2007
88514,"6,500",BOULEVARD M109R,Suzuki Cruiser,2007
42995,"4,999",V-STROM 1000 (DL1000),Suzuki Standard,2004
7453,"4,799",BANDIT 1200,Suzuki Sportbike,2002
2,"17,799",HAYABUSA, Suzuki Sportbike,2023
6962,"4,999",BOULEVARD C50,Suzuki Cruiser,2007
46581,"4,200",BOULEVARD C90,Suzuki Cruiser,2007
29671,"4,499",BOULEVARD C90T,Suzuki Cruiser,2006
14323,"6,998",BOULEVARD C50T C50 T,Suzuki Cruiser,2021
5951,"10,000",GSX-R 750,Suzuki Sportbike,2016
8571,"12,500",GSX-R 1000,Suzuki Sportbike,2013
39033,"4,500",V-STROM 1000,Suzuki Dual Sport,2004
2,"74,995",RGR 500 GAMMA,Suzuki Standard,1989
2,"6,999",RM-Z450, Suzuki Dirt Bike,2023
16093,"14,000",HAYABUSA GSX 1300,Suzuki Sport Touring,2022
2,"8,949",GSX-S750Z ABS, Suzuki Sportbike,2022
5509,"9,999",KATANA,Suzuki Standard,2020
6801,"9,038",V-STROM 1000,Suzuki Dual Sport,2018
3539,"11,000",GSX-R 600,Suzuki Sportbike,2018
39010,"6,800",GSX-R 750,Suzuki Sportbike,2005
2,"12,849",GSX-R750, Suzuki Sportbike,2023
2,"11,699",GSX-R600, Suzuki Sportbike,2023
2,"8,499",BOULEVARD C50T C50 T, Suzuki Cruiser,2022
10787,"16,999",V-STROM 1050XT ADVENTURE,Suzuki Dual Sport,2020
17539,"8,780",V-STROM 650XT TOURING,Suzuki Dual Sport,2019
