Mileage_km,Price_$,Bike,Type_of_Bike,Used_Time
2029,"16,688",STAR ELUDER,Yamaha Touring,2018
18115,"17,999",STAR VENTURE,Yamaha Touring,2018
11710,"5,999",ROAD STAR BAGGER,Yamaha Custom,1999
15128,"6,500",FZ-09,Yamaha Sportbike,2015
10765,"13,499",SUPER TENERE ES,Yamaha Dual Sport,2011
13543,"6,150",FZ-07,Yamaha Sportbike,2017
2211,"4,200",SMAX XC155,Yamaha Scooter,2019
16367,"5,799",V STAR 950 BASE,Yamaha Cruiser,2009
14738,"5,900",XV1700PC,Yamaha Cruiser,2004
2,"3,799",ZUMA 125,Yamaha Scooter,2023
12669,"17,999",STAR VENTURE,Yamaha Touring,2018
618,"7,995",BOLT,Yamaha Cruiser,2019
13073,"7,499",FZ-09,Yamaha Sportbike,2016
25750,"8,000",YZF R1,Yamaha Sportbike,2011
6437,"22,000",YZF R1M,Yamaha Sportbike,2015
15635,"14,000",YZF R6,Yamaha Sportbike,2017
13362,"5,999",V STAR 950 TOURER,Yamaha Touring,2012
895,"4,495",XT250,Yamaha Standard,2021
6035,"7,990",XSR700,Yamaha Sportbike,2018
8105,"6,800",RAIDER 1900,Yamaha Cruiser,2008
56802,"16,900",YZF R1M,Yamaha Sportbike,2016
2,"13,599",TRACER 9 GT,Yamaha Touring,2022
10480,"7,500",FJ-09,Yamaha Sport Touring,2015
43364,"4,500",FZ1,Yamaha Sportbike,2006
2,"12,999",MT-10,Yamaha Sportlike,2022
10009,"11,981",MT-10,Yamaha Sportbike,2020
14370,"14,999",YZF R6,Yamaha Sportbike,2019
6759,"7,799",MT-07,Yamaha Standard,2019
51106,"8,150",V STAR 1300 DELUXE,Yamaha Cruiser,2015
87455,"4,995",ROAD STAR,Yamaha Cruiser,2014
2,"10,649",MT-09,Yamaha Standard,2023
2,"5,949",MT-03,Yamaha Standard,2023
1942,"10,690",R7,Yamaha Sportbike,2022
24,"7,995",YZ450FX,Yamaha Dirt Bike,2019
1331,"8,995",BOLT C-SPEC,Yamaha Cruiser,2016
74270,"11,299",FJR1300ES 1300 ES,Yamaha Sportbike,2015
32187,"8,750",RAIDER,Yamaha Cruiser,2018
2,"14,999",TRACER 9 GT,Yamaha Touring,2022
34694,"8,783",MT-09,Yamaha Standard,2020
30745,"12,783",SUPER TENERE ES,Yamaha Touring,2018
22531,"14,000",SUPER TENERE XT1200Z,Yamaha Dual Sport,2015
8354,"10,995",YZF R7,Yamaha Sportbike,2022
3856,"8,500",MT 07,Yamaha Standard,2021
8530,"9,995",TENERE 700,Yamaha Dual Sport,2021
6759,"14,995",YZF R6,Yamaha Sportbike,2019
3729,"8,500",STRYKER XVS1300CT,Yamaha Cruiser,2014
6647,"5,200",RAIDER S,Yamaha Cruiser,2018
2,"7,899",MT-07,Yamaha Standard,2022
36989,"8,999",FJR1300ES 1300 ES,Yamaha Sport Touring,2016
79,"11,000",V STAR 650 CLASSIC,Yamaha Custom,2010
2,"10,499",TÉNÉRÉ 700,Yamaha Standard,2023
2,"7,899",MT-07,Yamaha Sportbike,2022
9495,"13,990",YZF-R6,Yamaha Sportbike,2018
23426,"5,995",ROADLINER 1900,Yamaha Cruiser,2009
34121,"2,999",V-STAR 650 XVS65A CLASSIC,Yamaha Cruiser,2013
11381,"15,990",FJR1300ES 1300 ES,Yamaha Sport Touring,2011
33637,"5,999",V STAR® 950 TOURER,Yamaha Touring,2014
6,"5,499",YZF-R3 ABS,Yamaha Sportbike,2023
2,"7,999",YZ250X,Yamaha Dirt Bike,2023
306,"14,000",TENERE 700,Yamaha Dual Sport,2023
4833,"13,700",YZF R6,Yamaha Sportbike,2020
4667,"17,900",FZR1000,Yamaha Sportbike,2018
2,"74,995",RZV500R,Yamaha Sportbike,1984
1889,"13,499",TRACER 9 GT,Yamaha Sport Touring,2022
17136,"9,990",MT-09,Yamaha Standard,2020
27348,"6,795",MT-09,Yamaha Standard,2018
7411,"8,750",FZ-09,Yamaha Sportbike,2017
58258,"6,900",V STAR 1300 TOURER,Yamaha Touring,2013
11668,"6,000",V STAR 950 TOURER,Yamaha Cruiser,2012
33004,"5,750",RAIDER 1900,Yamaha Cruiser,2008
5,"5,499",YZF-R3 ABS,Yamaha Sportbike,2023
6109,"9,499",MT-09,Yamaha Standard,2022
64,"5,980",YZ250F,Yamaha Mx,2021
1287,"8,000",250F,Yamaha Dirt Bike,2021
163,"10,995",TENERE 700,Yamaha Dual Sport,2021
1786,"9,400",XSR 900,Yamaha Sportbike,2021
4740,"6,499",FZ-07 ABS,Yamaha Sportbike,2017
28744,"5,000",STRYKER,Yamaha Cruiser,2012
10012,"11,000",TENERE,Yamaha Dual Sport,2012
23126,"4,250",V STAR 950 TOURER,Yamaha Cruiser,2009
5,"11,499",MT-09,Yamaha Sportbike,2023
5,"3,799",ZUMA 125,Yamaha Standard,2023
2,"9,199",YZF-R7,Yamaha Sportbike,2023
8,"9,199",YZF-R7,Yamaha Dirt Bike,2023
2438,"9,499",MT-09,Yamaha Sportbike,2022
58,"11,000",XSR 900,Yamaha Custom,2022
2000,"10,199",XSR900,Yamaha Sportbike,2021
42950,"8,795",FZ-10,Yamaha Sportbike,2017
2689,"5,999",BOLT C-SPEC,Yamaha Cruiser,2015
41824,"7,966",RAIDER® SCL,Yamaha Cruiser,2013
29612,"3,499",V STAR 650 CLASSIC,Yamaha Cruiser,2002
4736,"16,250",FJR 1300 ES,Yamaha Sport Touring,2020
132,"8,300",450,Yamaha Dirt Bike,2020
9656,"10,000",XSR 900,Yamaha Standard,2019
28514,"7,496",FJ-09,Yamaha Sport Touring,2017
17117,"7,100",V STAR 1300 TOURER,Yamaha Cruiser,2015
35678,"6,999",ROAD STAR SILVERADO S,Yamaha Cruiser,2018
51499,"4,000",FJ1200 ABS,Yamaha Sport Touring,1993
2,"13,995",TRACER 9 GT,Yamaha Sport Touring,2022
3185,"13,999",TRACER 9 GT,Yamaha Touring,2022
1609,"6,000",YZF R3 WORLD GP 60TH ANNIVERSARY EDITION,Yamaha Sportbike,2011
50,"6,969",YZ 250F,Yamaha Dirt Bike,2019
1588,"15,999",YZF R1,Yamaha Sportbike,2019
6437,"6,000",FZ-07,Yamaha Sportbike,2016
11141,"14,998",YZF-R1,Yamaha Sportbike,2015
23408,"5,100",V STAR 950 TOURER,Yamaha Touring,2013
39263,"6,950",YZF-R6S,Yamaha Sportbike,2009
44761,"5,999",STRATOLINER,Yamaha Cruiser,2018
26731,"8,000",GTS1000,Yamaha Classic / Vintage,1993
110029,"7,200",XS1100,Yamaha Classic / Vintage,1979
2,"10,499",TENERE 700 700,Yamaha Dirt Bike,2023
2,"3,799",ZUMA 125,Yamaha Moped,2023
2,"9,799",MT-09,Yamaha Standard,2023
2,"14,999",TRACER 9 GT,Yamaha Standard,2022
9656,"5,390",YZF R3,Yamaha Sportbike,2022
4023,"4,850",YZF R3,Yamaha Sportbike,2016
3660,"6,995",V STAR 950 BASE,Yamaha Cruiser,2012
69823,"4,500",V STAR 950 TOURER,Yamaha Touring,2010
1040,"8,495",MT-07,Yamaha Standard,2021
1279,"14,995",YZF R6,Yamaha Sportbike,2020
1609,"13,500",YZF R6,Yamaha Sportbike,2020
4300,"8,995",MT 07,Yamaha Sport Touring,2019
13324,"9,995",YZF-R6,Yamaha Sportbike,2015
15669,"12,991",YZF-R1,Yamaha Sportbike,2014
18065,"9,290",ROADLINER® S,Yamaha Cruiser,2014
28847,"6,999",SUPER TENERE,Yamaha Dual Sport,2012
5340,"5,499",V STAR 950 BASE,Yamaha Cruiser,2012
7001,"4,950",V STAR 950 TOURER,Yamaha Cruiser,2010
15311,"5,800",V STAR 1300 TOURER,Yamaha Cruiser,2008
25741,"5,488",V STAR 1300 BASE,Yamaha Cruiser,2007
22647,"5,390",V-STAR 1300,Yamaha Touring,2007
37015,"5,000",ROAD STAR WARRIOR XV1700A,Yamaha Custom,2004
36215,"4,925",V STAR 1100 CUSTOM,Yamaha Cruiser,2004
5,"9,799",MT-09,Yamaha Sportbike,2023
10,"9,000",YZF R7,Yamaha Sportbike,2022
3701,"16,000",SUPER TENERE XT1200ES,Yamaha Dual Sport,2022
2,"4,599",MT-03,Yamaha Sportbike,2021
3259,"4,250",MT 03,Yamaha Sport Touring,2021
7358,"16,797",YZF-R1,Yamaha Sportbike,2021
13189,"5,499",SCR950,Yamaha Standard,2017
18195,"17,999",R1M,Yamaha Sportbike,2016
13007,"15,999",FJR 1300ES,Yamaha Sport Touring,2016
16095,"4,250",FZ6,Yamaha Sportbike,2009
