Mileage_km,Price_$,Bike ,Type_of_Bike,Used_Time
1690," 49,995 ",1199 SUPERLEGGERA 1299,Ducati Sportbike,2014
10152," 11,795 ",MONSTER 821 STEALTH,Ducati Dirt Bike,2021
3862," 9,495 ",SCRAMBLER 1100,Ducati Sportbike,2018
18025," 5,500 ",ST 2,Ducati Sport Touring,1999
2092," 34,900 ",STREETFIGHTER V4 SP,Ducati Sportbike,2022
2560," 14,500 ",MULTISTRADA 1200 ENDURO PRO,Ducati Dual Sport,2017
25061," 14,999 ",SUPERBIKE 1199 PANIGALE R,Ducati Sportbike,2014
7656," 12,000 ",DIAVEL CARBON,Ducati Sportbike,2011
6307," 20,000 ",DIAVEL 1260 S,Ducati Sportbike,2021
2736," 12,750 ",MONSTER + 937,Ducati Sportbike,2023
483," 49,900 ",PANIGALE V4 SP2,Ducati Sportbike,2023
1287," 29,500 ",STREETFIGHTER V4 S,Ducati Sportbike,2022
1580," 11,499 ",DIAVEL,Ducati Sportbike,2013
5," 47,495 ",PANIGALE V4 SP2,Ducati Sportbike,2023
1415," 14,999 ",MULTISTRADA 1260 ENDURO,Ducati Standard,2019
7081," 11,500 ",MONSTER 821 DARK STEALTH,Ducati Standard,2021
9875," 17,995 ",PANIGALE V2,Ducati Sportbike,2020
1547," 23,995 ",SUPERBIKE 959 PANIGALE,Ducati Sportbike,2017
2919," 13,995 ",SCRAMBLER 1100 SPORT PRO,Ducati Sportbike,2022
16013," 15,250 ",MULTISTRADA 1260 S,Ducati Sport Touring,2019
2346," 77,999 ",DESMOSEDICI D16RR,Ducati Sportbike,2008
8," 24,195 ",DIAVEL 1260 S TOTAL BLACK,Ducati Sportbike,2022
200," 99,950 ",DIAVEL 1260 LAMBORGHINI,Ducati Sportbike,2021
7081," 20,999 ",MULTISTRADA V4 S TRAVEL & RADAR,Ducati Standard,2021
23036," 6,500 ",MONSTER S2R 1000,Ducati Sportbike,2007
8," 12,995 ",MONSTER PLUS,Ducati Sportbike,2023
3," 26,795 ",MULTISTRADA V4S DUCATI RED / SPOKED WHEELS 950 S SPOKED WHEELS,Ducati Sportbike,2022
3," 26,295 ",MULTISTRADA V4S AVIATOR GREY / ALLOY WHEELS V4 S SPORT,Ducati Sportbike,2022
1453," 19,995 ",XDIAVEL S,Ducati Standard,2020
14082," 15,999 ",MULTISTRADA 1200 S PIKES PEAK,Ducati Sport Touring,2016
44411," 13,495 ",1098 S TRICOLORE,Ducati Sportbike,2007
14," 31,595 ",MULTISTRADA V4 PIKES PEAK LIVERY,Ducati Sportbike,2023
11298," 12,994 ",DIAVEL TITANIUM,Ducati Sportbike,2015
2763," 47,200 ",SUPERLEGGERA,Ducati Sportbike,2014
4329," 17,900 ",MULTISTRADA 1260 S ENDURO,Ducati Sport Touring,2019
901," 11,000 ",SCRAMBLER DESERT SLED,Ducati Dual Sport,2019
2604," 22,200 ",STREETFIGHTER V4S,Ducati Sportbike,2022
301," 48,499 ",1199 SUPERLEGGERA 1299,Ducati Sportbike,2014
19312," 12,000 ",999 S,Ducati Sportbike,2004
11," 25,795 ",MULTISTRADA V4S DUCATI RED / ALLOY WHEELS V4 S SPORT,Ducati Sportbike,2022
7802," 8,500 ",HYPERMOTARD 1100 S,Ducati Sportbike,2008
1637," 13,200 ",HYPERMOTARD 950,Ducati Sportbike,2022
1893," 8,195 ",SCRAMBLER ICON,Ducati Standard,2019
3380," 8,750 ",SUPERSPORT 900,Ducati Sportbike,2002
14," 18,295 ",PANIGALE V2 DUCATI RED,Ducati Sportbike,2023
2," 22,750 ",PANIGALE V2 BAYLISS 1ST CHAMPIONSHIP 20TH ANNIVERSARY,Ducati Sportbike,2022
5726," 8,999 ",HYPERMOTARD 939 SP,Ducati Competition,2016
13679," 6,900 ",MONSTER 1100 EVO,Ducati Sportbike,2013
9418," 49,999 ",900 SS,Ducati Custom,1977
1588," 21,999 ",STREETFIGHTER V4 S DUCATI RED,Ducati Sportbike,2021
9180," 17,299 ",PANIGALE V4,Ducati Sportbike,2018
8851," 9,500 ",MONSTER 1200 S,Ducati Sport Touring,2015
13568," 8,995 ",HYPERMOTARD,Ducati Dual Sport,2013
5," 26,995 ",MULTISTRADA V4 S SPORT FULL ALLOY WHEELS,Ducati Standard,2022
1807," 12,300 ",MONSTER + 937,Ducati Standard,2022
1196," 13,900 ",HYPERMOTARD 950 SP,Ducati Super Moto,2020
7926," 32,999 ",PANIGALE V4 SPECIALE,Ducati Sportbike,2018
24666," 11,000 ",DIAVEL CARBON STAR WHITE AND MATT CARBON,Ducati Sportbike,2015
13," 17,695 ",DESERTX STAR WHITE SILK,Ducati Sportbike,2023
1402," 17,499 ",HYPERMOTARD 950 SP,Ducati Sportbike,2022
5234," 22,499 ",STREETFIGHTER V4 S DUCATI RED,Ducati Sportbike,2021
4986," 7,490 ",SCRAMBLER 800 DARK,Ducati Standard,2020
4667," 8,250 ",SCRAMBLER FULL THROTTLE,Ducati Standard,2018
