Mileage_km,Price_$,Bike,Type_of_Bike,Used_Time
652,49995,1199 SUPERLEGGERA 1299,Ducatti Sportbike,2014
3920,11795,MONSTER 821 STEALTH,Ducatti Dirt Bike,2021
1491,9495,SCRAMBLER 1100,Ducatti Sportbike,2018
0,20000,DIAVEL 1260 S,Ducatti Cruiser,2021
0,34990,PAUL SMART 1000,Ducatti Sport Touring,2016
6959,5500,ST 2,Ducatti Sport Touring,1999
808,34900,STREETFIGHTER V4 SP,Ducatti Sportbike,2022
989,14500,MULTISTRADA 1200 ENDURO PRO,Ducatti Dual Sport,2017
9676,14999,SUPERBIKE 1199 PANIGALE R,Ducatti Sportbike,2014
2956,12000,DIAVEL CARBON,Ducatti Sportbike,2011
2435,20000,DIAVEL 1260 S,Ducatti Sportbike,2021
1056,12750,MONSTER + 937,Ducatti Sportbike,2023
186,49900,PANIGALE V4 SP2,Ducatti Sportbike,2023
497,29500,STREETFIGHTER V4 S,Ducatti Sportbike,2022
0,15199,MULTISTRADA 1260 ENDURO,Ducatti Standard,2019
610,11499,DIAVEL,Ducatti Sportbike,2013
2,47495,PANIGALE V4 SP2,Ducatti Sportbike,2023
546,14999,MULTISTRADA 1260 ENDURO,Ducatti Standard,2019
2734,11500,MONSTER 821 DARK STEALTH,Ducatti Standard,2021
3813,17995,PANIGALE V2,Ducatti Sportbike,2020
597,23995,SUPERBIKE 959 PANIGALE,Ducatti Sportbike,2017
1127,13995,SCRAMBLER 1100 SPORT PRO,Ducatti Sportbike,2022
6183,15250,MULTISTRADA 1260 S,Ducatti Sport Touring,2019
906,77999,DESMOSEDICI D16RR,Ducatti Sportbike,2008
0,26995,DIAVEL V4 THRILLING BLACK BASE,Ducatti Sportbike,2023
3,24195,DIAVEL 1260 S TOTAL BLACK,Ducatti Sportbike,2022
77,99950,DIAVEL 1260 LAMBORGHINI,Ducatti Sportbike,2021
2734,20999,MULTISTRADA V4 S TRAVEL & RADAR,Ducatti Standard,2021
8894,6500,MONSTER S2R 1000,Ducatti Sportbike,2007
0,27195,MULTISTRADA V4S TRAVEL & RADAR V4 S,Ducatti Sport Touring,2023
3,12995,MONSTER PLUS,Ducatti Sportbike,2023
1,26795,MULTISTRADA V4S DUCATI RED / SPOKED WHEELS 950 S SPOKED WHEELS,Ducatti Sportbike,2022
1,26295,MULTISTRADA V4S AVIATOR GREY / ALLOY WHEELS V4 S SPORT,Ducatti Sportbike,2022
561,19995,XDIAVEL S,Ducatti Standard,2020
5437,15999,MULTISTRADA 1200 S PIKES PEAK,Ducatti Sport Touring,2016
17147,13495,1098 S TRICOLORE,Ducatti Sportbike,2007
6,31595,MULTISTRADA V4 PIKES PEAK LIVERY,Ducatti Sportbike,2023
4362,12994,DIAVEL TITANIUM,Ducatti Sportbike,2015
1067,47200,SUPERLEGGERA,Ducatti Sportbike,2014
1671,17900,MULTISTRADA 1260 S ENDURO,Ducatti Sport Touring,2019
348,11000,SCRAMBLER DESERT SLED,Ducatti Dual Sport,2019
1005,22200,STREETFIGHTER V4S,Ducatti Sportbike,2022
116,48499,1199 SUPERLEGGERA 1299,Ducatti Sportbike,2014
7456,12000,999 S,Ducatti Sportbike,2004
4,25795,MULTISTRADA V4S DUCATI RED / ALLOY WHEELS V4 S SPORT,Ducatti Sportbike,2022
3012,8500,HYPERMOTARD 1100 S,Ducatti Sportbike,2008
632,13200,HYPERMOTARD 950,Ducatti Sportbike,2022
0,18000,DIAVEL DARK STEALTH,Ducatti Cruiser,2020
731,8195,SCRAMBLER ICON,Ducatti Standard,2019
1305,8750,SUPERSPORT 900,Ducatti Sportbike,2002
0,11695,SCRAMBLER NIGHTSHIFT,Ducatti Standard,2023
0,18295,DESERTX RR22 LIVERY,Ducatti Sportbike,2023
6,18295,PANIGALE V2 DUCATI RED,Ducatti Sportbike,2023
1,22750,PANIGALE V2 BAYLISS 1ST CHAMPIONSHIP 20TH ANNIVERSARY,Ducatti Sportbike,2022
2211,8999,HYPERMOTARD 939 SP,Ducatti Competition,2016
5282,6900,MONSTER 1100 EVO,Ducatti Sportbike,2013
3636,49999,900 SS,Ducatti Custom,1977
613,21999,STREETFIGHTER V4 S DUCATI RED,Ducatti Sportbike,2021
0,8000,SCRAMBLER FULL THROTTLE,Ducatti Standard,2019
3544,17299,PANIGALE V4,Ducatti Sportbike,2018
3418,9500,MONSTER 1200 S,Ducatti Sport Touring,2015
5239,8995,HYPERMOTARD,Ducatti Dual Sport,2013
