Mileage_km,Price_$,Bike,Type_of_Bike,Used_Time
6422,14994,1290 SUPER DUKE GT,KTM Sport Touring,2019
3601,10999,SMC 690 R,KTM Super Moto,2019
301,9500,350 EXC-F,KTM Dual Sport,2018
0,10800,450 SX-F FACTORY EDITION,KTM Mx,2022
35,7995,350 XC-F,KTM Dual Sport,2020
1379,8000,620,KTM Dual Sport,1995
22,9586,790 DUKE,KTM Standard,2019
9217,13500,SUPER DUKE 1290 R,KTM Super Moto,2015
2113,5694,390 DUKE,KTM Standard,2018
3455,5299,DUKE 390 ABS,KTM Sportbike,2018
1043,5499,RC 390,KTM Sportbike,2022
3034,13950,1090 ADVENTURE R,KTM Dual Sport,2018
0,8950,450 SX-F,KTM Mx,2019
4536,11500,1290 SUPER ADVENTURE R,KTM Dual Sport,2019
0,15199,890 ADVENTURE R,KTM Dirt Bike,2023
2175,9975,ADVENTURE 1190,KTM Dual Sport,2024
5431,14600,1290 SUPER ADVENTURE R,KTM Dual Sport,2017
2023,3999,200 DUKE,KTM  Sportbike,2021
2,16994,ADVENTURE 890 R,KTM Dual Sport,2022
1446,11000,SMC 690 R,KTM Super Moto,2021
1243,16500,1290 SUPER ADVENTURE S,KTM Touring,2020
9097,13500,1090 ADVENTURE R,KTM Dual Sport,2018
8730,11896,1290 SUPER DUKE GT,KTM Sport Touring,2017
7,10700,350 XC-F,KTM Dirt Bike,2022
0,5799,390 ADVENTURE,KTM Sportbike,2022
0,7999,450 XC-F,KTM  Dirt Bike,2019
52,7995,350 XC-F ENDURO,KTM Dirt Bike,2022
0,8999,450 SX-F FACTORY EDITION,KTM  Dirt Bike,2022
0,12500,450 SX-F FACTORY EDITION,KTM Mx,2021
2106,16500,SUPER ADVENTURE 1290 R,KTM Dual Sport,2020
0,6855,350 SX-F,KTM Mx,2019
3867,13500,1090,KTM Dual Sport,2017
0,13949,890 ADVENTURE,KTM Dual Sport,2023
2472,16550,890 ADVENTURE R,KTM Dual Sport,2021
1859,8199,790 DUKE,KTM Sportbike,2020
1178,8999,790 DUKE,KTM Sportbike,2020
8920,6900,690 ENDURO R,KTM Dual Sport,2024
0,9985,FREERIDE E-XC,Electric Motorcycle,2021
1884,17990,1290 SUPER DUKE R,KTM Sportbike,2020
3045,11000,790 ADVENTURE R,KTM Dual Sport,2020
14009,11799,1290 SUPER ADVENTURE R,KTM Dual Sport,2019
2771,9995,1290 SUPER DUKE R,KTM Super Moto,2014
14288,9000,1190 ADVENTURE,KTM Dual Sport,2024
12142,12000,1190 ADVENTURE R,KTM Dual Sport,2024
0,11299,300 XC,KTM Dirt Bike,2024
1,5799,390 ADVENTURE,KTM Sportbike,2022
3,4588,RC 390,KTM Sportbike,2022
0,7695,450 SX-F,KTM  Dirt Bike,2021
0,15199,890 ADVENTURE R,KTM Dirt Bike,2023
3,12999,690 ENDURO R,KTM Dirt Bike,2023
534,18495,1290 SUPER DUKE R EVO,KTM Sportbike,2022
1,4999,RC 390,KTM Sportbike,2022
8681,10999,790 ADVENTURE R,KTM Sport Touring,2020
34,6795,450 SX-F,KTM Dirt Bike,2020
1118,4990,390 DUKE,KTM Standard,2019
5472,15899,1290 SUPER DUKE GT,KTM Sport Touring,2019
3288,15200,1290 SUPER DUKE GT,KTM Sport Touring,2019
0,6325,XC 350 F,KTM  Dirt Bike,2021
11375,9699,1190 ADVENTURE R,KTM Dual Sport,2016
3765,8500,690 ENDURO R,KTM Dual Sport,2024
0,12949,890 DUKE R,KTM Sportbike,2022
0,8399,450 SX-F,KTM Mx,2023
0,4799,RC 390,KTM Sportbike,2022
0,8700,300 XC TPI,KTM  Dirt Bike,2022
2261,9499,890 DUKE R,KTM  Sportbike,2021
16351,13278,1290 SUPER DUKE R,KTM Sportbike,2019
0,8995,450 XC-F,KTM  Dirt Bike,2018
9527,9000,690 ENDURO R,KTM Dual Sport,2015
0,12149,300 XC-W ERZBERGRODEO 300 W ERZBERGRODEO,KTM Dirt Bike,2023
0,12600,890 ADVENTURE,KTM  Dual Sport,2021
0,14399,450 SX-F FACTORY EDITION,KTM  Dirt Bike,2020
65,11000,790 DUKE,KTM Sportbike,2020
9575,9899,790 ADVENTURE R,KTM Dual Sport,2019
6003,9999,690 DUKE,KTM Standard,2018
3628,13999,1290 SUPER DUKE GT,KTM Sport Touring,2017
9519,7990,690 DUKE,KTM Sportbike,2014
0,10899,300 XC-W TPI,KTM Dirt Bike,2022
3224,15795,890 ADVENTURE R UNLOCKED,KTM Sport Touring,2021
0,4708,85 SX 19/16,KTM  Dirt Bike,2022
1567,7999,790 DUKE,KTM Sportbike,2019
138,9250,350 EXC-F,KTM Dual Sport,2018
0,4195,450 SX-F,KTM  Dirt Bike,2013
13803,9000,990 ADVENTURE DAKAR,KTM Dual Sport,2008
0,9399,300 SX,KTM Mx,2024
0,9299,450 SX-F FACTORY EDITION,KTM  Dirt Bike,2022
8859,18500,890 ADVENTURE R RALLY 890 R RALLY,KTM Dual Sport,2021
656,5200,DUKE 390 ABS,KTM Sport Touring,2020
12230,5499,790 DUKE,KTM Sportbike,2019
574,10000,350 EXC-F,KTM Dirt Bike,2018
12117,5800,950 SUPERMOTO ORANGE,KTM Super Moto,2007
0,7399,390 ADVENTURE,KTM Standard,2023
0,11049,500 EXC-F,KTM Dirt Bike,2023
9,8750,350 XC-F,KTM Dirt Bike,2022
3723,20700,790 ADVENTURE R RALLY,KTM Dual Sport,2020
4460,15990,1290 SUPER DUKE GT,KTM Sport Touring,2020
215,10500,500,KTM Dual Sport,2019
0,7000,350 XC-F,KTM  Dirt Bike,2019
3106,14995,1290 SUPER DUKE R,KTM Sportbike,2019
0,9995,450 XC-F,KTM Dirt Bike,2023
2,7399,390 ADVENTURE,KTM Dual Sport,2023
0,8249,125 XC,KTM Dirt Bike,2023
0,15199,890 ADVENTURE R,KTM Dirt Bike,2023
0,5999,250 SX-F,KTM Dirt Bike,2023
0,10649,350 EXC-F,KTM Dirt Bike,2023
1,12999,690 ENDURO R,KTM Dirt Bike,2023
0,6249,125 XC,KTM Dirt Bike,2023
0,2999,200 DUKE,KTM Sportbike,2022
0,15999,1290 SUPER DUKE R EVO,KTM Sportbike,2022
0,8599,300 XC-W TPI,KTM  Dirt Bike,2020
5234,8990,790 DUKE,KTM Sportbike,2019
2334,14790,1290 SUPER ADVENTURE S,KTM Standard,2019
0,8055,450 SX-F FACTORY EDITION,KTM  Dirt Bike,2018
3293,10900,1090 ADVENTURE R,KTM Dual Sport,2018
9252,11995,1190 ADVENTURE R,KTM Sport Touring,2014
1,10899,450 SX-F,KTM Mx,2023
0,8999,300 XC-W,KTM Dirt Bike,2023
0,52500,RC 8C,KTM Sportbike,2023
0,5999,390 ADVENTURE,KTM Dual Sport,2022
0,6799,390 ADVENTURE,KTM Dual Sport,2022
2,5669,RC 390,KTM Sportbike,2022
0,6982,450 XC-F,KTM Dirt Bike,2021
0,5299,150 SX,KTM  Dirt Bike,2022
4350,12000,790 ADVENTURE,KTM Touring,2020
0,11600,790 ADVENTURE,KTM  Dual Sport,2019
2985,12999,SUPER DUKE 1290 R,KTM Sportbike,2017
0,9030,450 SX-F,KTM Competition,2023
0,9487,300 XC,KTM Dirt Bike,2023
1,8249,250 SX-F,KTM Mx,2023
1,12995,690 ENDURO R,KTM Dual Sport,2023
1,7199,125 SX,KTM Mx,2023
0,6599,390 ADVENTURE,KTM Dual Sport,2022
0,7499,250 SX-F,KTM  Dirt Bike,2021
4034,9500,790 DUKE,KTM Sportbike,2020
12884,14950,SUPER ADVENTURE 1290 R,KTM Dual Sport,2018
6959,13000,SUPER ADVENTURE 1290,KTM Dual Sport,2018
4660,5200,250 XC,KTM Dirt Bike,2021
18916,12997,1290 SUPER ADVENTURE,KTM  Standard,2015
2299,6599,500 XC-W,KTM Dirt Bike,2014
