Mileage_km,Price_$,Bike,Type_of_Bike,Used_Time
4995,14995,GSX-R1000,Suzuki Sportbike,2020
6349,10498,BOULEVARD M109R B.O.S.S.,Suzuki Cruiser,2019
11,18500,HAYABUSA GSX 1300,Suzuki Sportbike,2022
6587,6450,V-STROM 650 ABS ADVENTURE,Suzuki Dual Sport,2013
3442,6999,DR-Z400SM,Suzuki Competition,2021
3326,15000,GSX-R 1300,Suzuki Sportbike,2008
22369,7799,V-STROM 1000 ABS ADVENTURE,Suzuki Dual Sport,2014
0,12849,GSX-R750,Suzuki Sportbike,2023
1616,8499,V STROM 650XT ADVENTURE,Suzuki Sport Touring,2020
0,18799,HAYABUSA,Suzuki Sportbike,2023
4891,9500,BOULEVARD M109R LIMITED EDITION,Suzuki Touring,2011
7000,5185,DR 650SE,Suzuki Dual Sport,2008
2228,8000,DR Z 400S BASE,Suzuki Dual Sport,2020
10594,9999,GSX-R750™,Suzuki Sportbike,2013
11185,12950,HAYABUSA 1300R,Suzuki Sportbike,2009
11534,3500,BOULEVARD C50,Suzuki Cruiser,2007
0,2999,DR-Z125L,Suzuki Dirt Bike,2022
1444,12000,BOULEVARD C90T B.O.S.S.,Suzuki Cruiser,2019
3646,12499,HAYABUSA,Suzuki Sportbike,2015
1605,6498,DR-Z400SM,Suzuki Dual Sport,2021
2579,8250,GSX-R 1000R,Suzuki Sportbike,2007
1360,7983,V-STROM 650XT,Suzuki Dual Sport,2022
1,9283,V-STROM 650XT ADVENTURE,Suzuki Dual Sport,2022
1,6983,DR-Z400SM,Suzuki Dual Sport,2023
1,11483,GSX-R750,Suzuki Sportbike,2023
4,6299,RMX450 Z,Suzuki Sportbike,2019
3110,10999,GSX-R750,Suzuki Sportbike,2017
5406,11999,GSX R 1000,Suzuki Sportbike,2014
28496,3000,INTRUDER 1400,Suzuki Cruiser,2003
5028,6199,GSX-S750,Suzuki Sportbike,2015
808,12900,BOULEVARD,Suzuki Touring,2020
8047,13500,HAYABUSA 1340 LIMITED,Suzuki Custom,2008
1,18199,GSX-R1000R,Suzuki Standard,2023
783,10995,GSX-S1000,Suzuki Sportbike,2023
1,7099,DR-Z400S,Suzuki Standard,2023
1,4999,BURGMAN 200,Suzuki Scooter,2022
1032,11999,BOULEVARD,Suzuki Cruiser,2020
1032,12995,BOULEVARD M109R B.O.S.S.,Suzuki Cruiser,2020
3385,9990,BOULEVARD M109R B.O.S.S.,Suzuki Cruiser,2017
982,9999,C50 BOULEVARD TRIKE,Suzuki Trike,2007
34175,6500,BOULEVARD M109R,Suzuki Cruiser,2007
16601,4999,V-STROM 1000 (DL1000),Suzuki Standard,2004
2878,4799,BANDIT 1200,Suzuki Sportbike,2002
1,17799,HAYABUSA,Suzuki Sportbike,2023
2688,4999,BOULEVARD C50,Suzuki Cruiser,2007
17985,4200,BOULEVARD C90,Suzuki Cruiser,2007
11456,4499,BOULEVARD C90T,Suzuki Cruiser,2006
5530,6998,BOULEVARD C50T C50 T,Suzuki Cruiser,2021
2298,10000,GSX-R 750,Suzuki Sportbike,2016
3309,12500,GSX-R 1000,Suzuki Sportbike,2013
0,18995,HAYABUSA 1300R LIMITED EDITION,Suzuki Custom,2006
15071,4500,V-STROM 1000,Suzuki Dual Sport,2004
